param,F1,F2,F3,error,file_name,id,group,label,max_formant,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
4,-0.004615971707147563,-0.00009795434333327355,-0.000645213584829393,0.00007940388445150536,utterance_000003,0-0-3-1,group_0,IY,6230.7692307692305,1,2,ҫинчен,"",0.08000000000000007,мӗн,пӗлме,ɕ,N,ɕ,N,internal
0,4.406104595702526,5.5220816993177655,5.710555109530658,0.00032871223245465524,utterance_000003,0-0-5-6,group_0,IY,6589.74358974359,1,2,шутланине,"",0.06999999999999984,пӗлме,санюк,N,N,N,N,internal
1,-0.007634352291356958,-0.05630420250567132,-0.02095298575958019,0.00032871223245465524,utterance_000003,0-0-5-6,group_0,IY,6589.74358974359,1,2,шутланине,"",0.06999999999999984,пӗлме,санюк,N,N,N,N,internal
2,-0.04963624788215839,-0.01300069670801831,-0.00012924315684818312,0.00032871223245465524,utterance_000003,0-0-5-6,group_0,IY,6589.74358974359,1,2,шутланине,"",0.06999999999999984,пӗлме,санюк,N,N,N,N,internal
3,-0.024041408362063074,-0.0060016110895286,-0.005762282647370564,0.00032871223245465524,utterance_000003,0-0-5-6,group_0,IY,6589.74358974359,1,2,шутланине,"",0.06999999999999984,пӗлме,санюк,N,N,N,N,internal
4,-0.017746883704623524,-0.00446323008221368,-0.002546362013466149,0.00032871223245465524,utterance_000003,0-0-5-6,group_0,IY,6589.74358974359,1,2,шутланине,"",0.06999999999999984,пӗлме,санюк,N,N,N,N,internal
0,4.232875578511697,5.467182251755496,5.697056883466382,0.00048043727326226894,utterance_000003,0-0-8-1,group_0,IY,6230.7692307692305,1,2,сисрӗ,"",0.08000000000000007,хӑвӑрт,<eps>,s,s,s,s,internal
1,-0.04384293516689566,-0.009407823120951668,-0.0044211723695200475,0.00048043727326226894,utterance_000003,0-0-8-1,group_0,IY,6230.7692307692305,1,2,сисрӗ,"",0.08000000000000007,хӑвӑрт,<eps>,s,s,s,s,internal
2,-0.019851309844861973,0.0065485077292419275,-0.0006910598504436369,0.00048043727326226894,utterance_000003,0-0-8-1,group_0,IY,6230.7692307692305,1,2,сисрӗ,"",0.08000000000000007,хӑвӑрт,<eps>,s,s,s,s,internal
3,0.019854857088432057,-0.002651971394550427,0.003520696157175116,0.00048043727326226894,utterance_000003,0-0-8-1,group_0,IY,6230.7692307692305,1,2,сисрӗ,"",0.08000000000000007,хӑвӑрт,<eps>,s,s,s,s,internal
4,-0.010049961891180759,-0.0034717550431727627,-0.002208531838299047,0.00048043727326226894,utterance_000003,0-0-8-1,group_0,IY,6230.7692307692305,1,2,сисрӗ,"",0.08000000000000007,хӑвӑрт,<eps>,s,s,s,s,internal
0,4.408218181453128,5.489351731724228,5.693516829930751,4.588530772094602e-6,utterance_000003,0-0-3-4,group_0,EY,7128.205128205128,1,2,ҫинчен,"",0.06000000000000005,мӗн,пӗлме,tʃ,N,tʃ,N,internal
1,-0.04622094068143379,0.018427353226630767,0.0005961443353498434,4.588530772094602e-6,utterance_000003,0-0-3-4,group_0,EY,7128.205128205128,1,2,ҫинчен,"",0.06000000000000005,мӗн,пӗлме,tʃ,N,tʃ,N,internal
2,-0.010838359490951178,-0.004516070439946261,0.0009115000815605913,4.588530772094602e-6,utterance_000003,0-0-3-4,group_0,EY,7128.205128205128,1,2,ҫинчен,"",0.06000000000000005,мӗн,пӗлме,tʃ,N,tʃ,N,internal
3,-0.003808850028040725,0.0033236029045135874,-0.0009478157858640344,4.588530772094602e-6,utterance_000003,0-0-3-4,group_0,EY,7128.205128205128,1,2,ҫинчен,"",0.06000000000000005,мӗн,пӗлме,tʃ,N,tʃ,N,internal
4,-0.0007673438479316084,0.00127352667537587,0.0006578322433213313,4.588530772094602e-6,utterance_000003,0-0-3-4,group_0,EY,7128.205128205128,1,2,ҫинчен,"",0.06000000000000005,мӗн,пӗлме,tʃ,N,tʃ,N,internal
0,4.451357110798477,5.458957717813277,5.656879802991493,0.000028929576578025674,utterance_000003,0-0-4-4,group_0,EY,6589.74358974359,1,2,пӗлме,"",0.07000000000000006,ҫинчен,шутланине,M,#,M,SH,final
1,-0.021488841315948047,0.015714784656070915,0.0026874055987062863,0.000028929576578025674,utterance_000003,0-0-4-4,group_0,EY,6589.74358974359,1,2,пӗлме,"",0.07000000000000006,ҫинчен,шутланине,M,#,M,SH,final
2,0.005883993855618592,-0.005716552365175567,-0.007072434108766968,0.000028929576578025674,utterance_000003,0-0-4-4,group_0,EY,6589.74358974359,1,2,пӗлме,"",0.07000000000000006,ҫинчен,шутланине,M,#,M,SH,final
3,-0.006962464504612123,-0.004402063566987407,-0.0038243996460968323,0.000028929576578025674,utterance_000003,0-0-4-4,group_0,EY,6589.74358974359,1,2,пӗлме,"",0.07000000000000006,ҫинчен,шутланине,M,#,M,SH,final
4,-0.00004486246433967012,-0.00009826965378803573,0.0002831425081962098,0.000028929576578025674,utterance_000003,0-0-4-4,group_0,EY,6589.74358974359,1,2,пӗлме,"",0.07000000000000006,ҫинчен,шутланине,M,#,M,SH,final
0,4.419197907972233,5.514276669732335,5.722080717732777,0.00006617641083748508,utterance_000003,0-0-5-8,group_0,EY,6589.74358974359,1,2,шутланине,"",0.10000000000000009,пӗлме,санюк,N,#,N,s,final
1,-0.06338792165978997,0.08307979900585188,0.02443094860244636,0.00006617641083748508,utterance_000003,0-0-5-8,group_0,EY,6589.74358974359,1,2,шутланине,"",0.10000000000000009,пӗлме,санюк,N,#,N,s,final
2,-0.003898820971585551,-0.009776045076512365,0.010017921882819926,0.00006617641083748508,utterance_000003,0-0-5-8,group_0,EY,6589.74358974359,1,2,шутланине,"",0.10000000000000009,пӗлме,санюк,N,#,N,s,final
3,-0.02700548068111401,0.004115235202289139,0.005956935100812266,0.00006617641083748508,utterance_000003,0-0-5-8,group_0,EY,6589.74358974359,1,2,шутланине,"",0.10000000000000009,пӗлме,санюк,N,#,N,s,final
4,-0.0017543199310897971,-0.00017428328069944455,0.0012847177614345065,0.00006617641083748508,utterance_000003,0-0-5-8,group_0,EY,6589.74358974359,1,2,шутланине,"",0.10000000000000009,пӗлме,санюк,N,#,N,s,final
0,4.132143949624072,4.619010159212001,5.046065941582191,0.00014705716656938488,utterance_000003,0-0-5-1,group_0,UW,3000.0,1,2,шутланине,"",0.050000000000000044,пӗлме,санюк,SH,t,SH,t,internal
1,-0.04789963110301185,0.07325259563265757,0.012170582109750746,0.00014705716656938488,utterance_000003,0-0-5-1,group_0,UW,3000.0,1,2,шутланине,"",0.050000000000000044,пӗлме,санюк,SH,t,SH,t,internal
2,0.02008140886972678,-0.02139396340653837,0.02677236299952368,0.00014705716656938488,utterance_000003,0-0-5-1,group_0,UW,3000.0,1,2,шутланине,"",0.050000000000000044,пӗлме,санюк,SH,t,SH,t,internal
3,0.0017067216244969674,0.01731748790774729,0.024896842759763328,0.00014705716656938488,utterance_000003,0-0-5-1,group_0,UW,3000.0,1,2,шутланине,"",0.050000000000000044,пӗлме,санюк,SH,t,SH,t,internal
4,-0.004206081289896328,0.0006566113508128302,0.0021669809928713296,0.00014705716656938488,utterance_000003,0-0-5-1,group_0,UW,3000.0,1,2,шутланине,"",0.050000000000000044,пӗлме,санюк,SH,t,SH,t,internal
0,4.737989058528025,5.6709615414699135,5.959252404241078,0.002002876229462093,utterance_000003,0-0-6-4,group_0,UW,10000.0,1,2,санюк,"",0.0900000000000003,шутланине,хӑвӑрт,Y,K,Y,K,internal
1,-0.08502975521406528,-0.004106733841006436,-0.006102009112109082,0.002002876229462093,utterance_000003,0-0-6-4,group_0,UW,10000.0,1,2,санюк,"",0.0900000000000003,шутланине,хӑвӑрт,Y,K,Y,K,internal
