param,F1,F2,F3,error,file_name,id,group,label,max_formant,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
0,405.62521108194653,1390.0242235693684,2255.4709658494576,0.0003557769444237622,utterance_000000,0-0-1-3,group_0,AH,6051.282051282051,1,4,вӑйӑн-шайӑн,"",0.08999999999999997,<eps>,упӑшка,Y,N,Y,N,internal
1,-43.33632001929009,175.60866006439932,-121.6033908793809,0.0003557769444237622,utterance_000000,0-0-1-3,group_0,AH,6051.282051282051,1,4,вӑйӑн-шайӑн,"",0.08999999999999997,<eps>,упӑшка,Y,N,Y,N,internal
2,-0.22596780262705798,22.473381887192396,23.907429195523086,0.0003557769444237622,utterance_000000,0-0-1-3,group_0,AH,6051.282051282051,1,4,вӑйӑн-шайӑн,"",0.08999999999999997,<eps>,упӑшка,Y,N,Y,N,internal
3,2.720353684669655,12.80997898680747,-4.873841256031397,0.0003557769444237622,utterance_000000,0-0-1-3,group_0,AH,6051.282051282051,1,4,вӑйӑн-шайӑн,"",0.08999999999999997,<eps>,упӑшка,Y,N,Y,N,internal
4,1.2020381758985483,5.943287827631134,11.011867830175396,0.0003557769444237622,utterance_000000,0-0-1-3,group_0,AH,6051.282051282051,1,4,вӑйӑн-шайӑн,"",0.08999999999999997,<eps>,упӑшка,Y,N,Y,N,internal
0,562.6866178826272,1252.2694299221166,1981.0922389608697,0.0008768491539300771,utterance_000000,0-0-1-6,group_0,AA,6410.25641025641,1,4,вӑйӑн-шайӑн,"",0.12,<eps>,упӑшка,SH,Y,SH,Y,internal
1,-4.308009033988295,-98.18282776824546,55.331674340447975,0.0008768491539300771,utterance_000000,0-0-1-6,group_0,AA,6410.25641025641,1,4,вӑйӑн-шайӑн,"",0.12,<eps>,упӑшка,SH,Y,SH,Y,internal
2,-26.580460979999195,58.2092097153661,103.56857147902379,0.0008768491539300771,utterance_000000,0-0-1-6,group_0,AA,6410.25641025641,1,4,вӑйӑн-шайӑн,"",0.12,<eps>,упӑшка,SH,Y,SH,Y,internal
3,14.057305394842096,-1.0136426594219563,58.81111914096158,0.0008768491539300771,utterance_000000,0-0-1-6,group_0,AA,6410.25641025641,1,4,вӑйӑн-шайӑн,"",0.12,<eps>,упӑшка,SH,Y,SH,Y,internal
4,0.8109864468160364,18.065140451605714,58.329819979933546,0.0008768491539300771,utterance_000000,0-0-1-6,group_0,AA,6410.25641025641,1,4,вӑйӑн-шайӑн,"",0.12,<eps>,упӑшка,SH,Y,SH,Y,internal
0,539.0393173429356,1040.0865484308138,1971.1058763141884,0.00010314765812731331,utterance_000000,0-0-2-5,group_0,AA,6051.282051282051,1,4,упӑшка,"",0.08000000000000007,вӑйӑн-шайӑн,мар,K,#,K,M,final
1,1.3452101096016125,38.09645262314867,-17.580028303191096,0.00010314765812731331,utterance_000000,0-0-2-5,group_0,AA,6051.282051282051,1,4,упӑшка,"",0.08000000000000007,вӑйӑн-шайӑн,мар,K,#,K,M,final
2,-14.860503365336935,-6.8562640862966715,20.81441968556314,0.00010314765812731331,utterance_000000,0-0-2-5,group_0,AA,6051.282051282051,1,4,упӑшка,"",0.08000000000000007,вӑйӑн-шайӑн,мар,K,#,K,M,final
3,7.696999579072665,9.02832823407201,2.4866637938256257,0.00010314765812731331,utterance_000000,0-0-2-5,group_0,AA,6051.282051282051,1,4,упӑшка,"",0.08000000000000007,вӑйӑн-шайӑн,мар,K,#,K,M,final
4,-1.7745657574541975,-2.345388723944354,6.571942037266,0.00010314765812731331,utterance_000000,0-0-2-5,group_0,AA,6051.282051282051,1,4,упӑшка,"",0.08000000000000007,вӑйӑн-шайӑн,мар,K,#,K,M,final
0,619.6961380103639,1101.1263554745083,1985.9269962595665,0.00009686567276711456,utterance_000000,0-0-3-1,group_0,AA,6051.282051282051,1,4,мар,"",0.1200000000000001,упӑшка,#,M,R,M,R,internal
1,-18.56655109015143,-50.66866320630325,66.7585014678857,0.00009686567276711456,utterance_000000,0-0-3-1,group_0,AA,6051.282051282051,1,4,мар,"",0.1200000000000001,упӑшка,#,M,R,M,R,internal
2,-15.872845010405156,-4.542017386646516,-13.72090738963634,0.00009686567276711456,utterance_000000,0-0-3-1,group_0,AA,6051.282051282051,1,4,мар,"",0.1200000000000001,упӑшка,#,M,R,M,R,internal
3,-2.4165351571974165,2.0069838508305264,11.084810085841214,0.00009686567276711456,utterance_000000,0-0-3-1,group_0,AA,6051.282051282051,1,4,мар,"",0.1200000000000001,упӑшка,#,M,R,M,R,internal
4,-0.004723248501557181,-1.9060656763834753,-2.157987861501341,0.00009686567276711456,utterance_000000,0-0-3-1,group_0,AA,6051.282051282051,1,4,мар,"",0.1200000000000001,упӑшка,#,M,R,M,R,internal
0,359.7192588683418,799.29077135091,2378.9824724834853,0.0004851448507342993,utterance_000000,0-0-2-0,group_0,UW,6051.282051282051,1,4,упӑшка,"",0.08000000000000007,вӑйӑн-шайӑн,мар,#,P,N,P,initial
1,53.102953310732694,116.82055044745334,3.212230426394896,0.0004851448507342993,utterance_000000,0-0-2-0,group_0,UW,6051.282051282051,1,4,упӑшка,"",0.08000000000000007,вӑйӑн-шайӑн,мар,#,P,N,P,initial
2,19.299911152839698,46.2515581578953,12.792899549364902,0.0004851448507342993,utterance_000000,0-0-2-0,group_0,UW,6051.282051282051,1,4,упӑшка,"",0.08000000000000007,вӑйӑн-шайӑн,мар,#,P,N,P,initial
3,-3.1611035100886036,20.00647130903925,-4.729299816897387,0.0004851448507342993,utterance_000000,0-0-2-0,group_0,UW,6051.282051282051,1,4,упӑшка,"",0.08000000000000007,вӑйӑн-шайӑн,мар,#,P,N,P,initial
